place_id,place_name,type_1,type_2,type_3,price_level,average_rating,user_ratings_total,formatted_address,latitude,longitude,geohash,upper_geohash,distance,duration
ChIJ_Z2Rm1Xf4EcR4hWPNoFsnzI,La Parisienne,food,restaurant,,,4.3,25.0,"80 Rue Martainville, 76000 Rouen, France",49.4387707,1.1034052,u0bc30,u0bc3,0.7 km,9 mins
ChIJhXb9dTre4EcRLc1KpHljveU,Domino's Pizza Sotteville-lès-Rouen,food,restaurant,,2.0,3.5,365.0,"81 Av. des Canadiens, 76300 Sotteville-lès-Rouen, France",49.4106555,1.0718037,u0bc06,u0bc0,3.8 km,49 mins
ChIJ-_FrCZff4EcRPJBailWpPjM,Brasco,food,restaurant,,,4.0,238.0,"12 Pl. Saint-Sever, 76100 Rouen, France",49.4308471,1.0853187,u0bc0w,u0bc0,1.3 km,17 mins
ChIJG3SIYwvf4EcR4DP6g-jh6IU,La Tabatière,night_life,bar,,,4.5,6.0,"46 Rue Léon Gambetta, 76800 Saint-Étienne-du-Rouvray, France",49.4126684,1.100602,u0bc15,u0bc1,3.7 km,47 mins
ChIJdax9rdfd4EcRfTdZ9olqjPU,hôtel - Salon de thé,food,cafe,,,3.8,94.0,"36 Rue Ganterie, 76000 Rouen, France",49.4433511,1.0945445,u0bc2b,u0bc2,0.5 km,6 mins
ChIJlSexIIne4EcRS_TdptMtAk4,Parc Jacques Chastellain,nature,park,,,4.0,31.0,"Av. Jacques Chastellain, 76100 Rouen, France",49.428552,1.1069851,u0bc1n,u0bc1,1.8 km,22 mins
ChIJpx2DX-Dd4EcRAxQGm4j-oQI,Hotel De L'agglomeration,accommodation,lodging,,,3.7,3.0,"Rue de le Nostre, 76000 Rouen, France",49.4440885,1.0792061,u0bc29,u0bc2,1.3 km,17 mins
ChIJ10xWIHDe4EcRuQJVRy_jUCQ,WinCommunication,shopping,store,"['electronics_store', 'home_goods_store']",,5.0,2.0,"21BIS Rue Malouet, 76100 Rouen, France",49.4313718,1.0898876,u0bc0y,u0bc0,1.2 km,16 mins
ChIJwVjmPn_e4EcR4FiuGV4V57c,La Voûte Musicale,food,restaurant,['store'],2.0,3.9,21.0,"236 Rue Martainville, 76000 Rouen, France",49.4399756,1.0985026,u0bc2b,u0bc2,0.3 km,4 mins
ChIJzxSME3_e4EcRosi-8_wN-xQ,Rouen au Micocoulier,accommodation,lodging,,,3.0,2.0,"208 Rue Martainville, 76000 Rouen, France",49.4399991,1.0991103,u0bc30,u0bc3,0.4 km,4 mins
ChIJL0q3MeHd4EcRqGUTT0ol-Wo,Le Comptoir Seigneurie Gauthier,shopping,store,['home_goods_store'],,4.2,27.0,"30 Rue du Pré de la Bataille, 76000 Rouen, France",49.4452907,1.0769148,u0bc29,u0bc2,1.6 km,20 mins
ChIJYz_i0NXd4EcR0YQ_lwxbCHM,Hôtel Bonaparte,accommodation,lodging,,,3.8,184.0,"3 Rue Jean Lecanuet, 76000 Rouen, France",49.4435387,1.0978067,u0bc2b,u0bc2,0.7 km,8 mins
ChIJhR10S07d4EcR4gRebB3XYNU,Bakin'Donuts Rouen,shopping,store,['bakery'],,5.0,44.0,"6 Rue Ecuyere, 76000 Rouen, France",49.4423716,1.0900497,u0bc2b,u0bc2,0.5 km,7 mins
ChIJicfnPk_e4EcRn11D_v0JAjc,La Centrale des Vins,shopping,store,['liquor_store'],,4.5,108.0,"14 Rue Louis Ruquier, 76300 Sotteville-lès-Rouen, France",49.4093697,1.0861168,u0bc0d,u0bc0,3.9 km,51 mins
ChIJI20KMtbd4EcRrn0u_SwNYQs,Gérard Darel,shopping,store,['clothing_store'],,4.0,11.0,"77 Rue des Carmes, 76000 Rouen, France",49.4422495,1.094864,u0bc2b,u0bc2,0.3 km,4 mins
ChIJ1Qhqdm3e4EcRzG04aL2olMM,PAUL Saint-Sever,food,restaurant,"['bakery', 'store']",2.0,3.4,107.0,"Rue Henri Gadeau de Kerville, 76100 Rouen, France",49.4314345,1.0844511,u0bc0w,u0bc0,1.4 km,19 mins
ChIJMUoKhX7e4EcRv6yqWXBFfJs,Square Guillaume Lion,nature,park,,,4.4,5.0,"11 Quai de Paris, 76000 Rouen, France",49.437106,1.0985406,u0bc0z,u0bc0,0.6 km,7 mins
ChIJNw_-69Xd4EcR3ejyhTOwDF0,L N K,shopping,store,['jewelry_store'],,4.5,17.0,"5 Rue Massacre, 76000 Rouen, France",49.441915,1.0911947,u0bc2b,u0bc2,0.4 km,5 mins
ChIJiVziL-Hd4EcRRpQHXPzbIQk,Duval Patrick,shopping,store,['bakery'],,5.0,1.0,"51 Rue du Pré de la Bataille, 76000 Rouen, France",49.4461986,1.0773441,u0bc29,u0bc2,1.6 km,21 mins
ChIJm65TVnje4EcRtfgtQtm8Y-8,Chauss' Confort,shopping,store,['shoe_store'],,2.5,2.0,"55 Rue du Général Leclerc, 76000 Rouen, France",49.4393024,1.0944049,u0bc2b,u0bc2,83 m,1 min
ChIJZbEA6Hje4EcRBoMsH87wsFU,Ranucci Patrick,shopping,store,"['furniture_store', 'home_goods_store']",,5.0,1.0,"17 Rue Petit de Julleville, 76000 Rouen, France",49.4395945,1.0958911,u0bc2b,u0bc2,0.1 km,1 min
ChIJl4183HHf4EcRkvgaumajT44,Les Goûts Thé de Nessie,food,cafe,['restaurant'],,4.6,42.0,"2 Rue Adrien Pasquier, 76000 Rouen, France",49.4392867,1.1023337,u0bc30,u0bc3,0.6 km,8 mins
ChIJ5_2OC-2XDEgRoAhSP2kIkOA,RAISON HOME - Frédérique HUE & Nicolas PAUCHET,shopping,store,"['furniture_store', 'home_goods_store']",,5.0,2.0,"20 Pass. de la Luciline, 76000 Rouen, France",49.445735,1.0687457,u0bc23,u0bc2,2.3 km,29 mins
ChIJ1Uc_SpDd4EcRntaJ6x3OiX0,BAR BRASSERIE L'ARRIVÉE,night_life,bar,"['restaurant', 'liquor_store', 'store']",,4.7,63.0,"33 Rue Verte, 76000 Rouen, France",49.4490626,1.0930215,u0bc2c,u0bc2,1.3 km,18 mins
ChIJF8J1Rtbd4EcRS-c226l_0Xo,Aubade,shopping,store,['clothing_store'],,4.2,24.0,"115 Rue des Carmes, 76000 Rouen, France",49.442917,1.095303,u0bc2b,u0bc2,0.4 km,5 mins
ChIJiXMyQtjd4EcRmWIWR4-5ZrQ,Galerie ROLLIN,cultural,art_gallery,,,4.3,19.0,"31 Rue Ecuyere, 76000 Rouen, France",49.4429015,1.0900808,u0bc2b,u0bc2,0.6 km,7 mins
ChIJFc_uHrDf4EcRCWPmSV7h2eA,Alba Restaurant,food,restaurant,,,4.8,113.0,"236 Rue Martainville, 76000 Rouen, France",49.4399775,1.09854,u0bc2b,u0bc2,0.3 km,4 mins
ChIJw67NWvzd4EcRr8edxpArvSA,All Sports Café Rouen,night_life,bar,['restaurant'],2.0,3.8,2012.0,"Hangar, 10 Quai Ferdinand de Lesseps, 76000 Rouen, France",49.4445734,1.0670979,u0bc23,u0bc2,2.3 km,28 mins
ChIJ-zOEmtbd4EcRIsvCLy6ZOhM,Vega Joaillier,shopping,store,['jewelry_store'],,3.7,3.0,"44 Pl. des Carmes, 76000 Rouen, France",49.4423929,1.095565,u0bc2b,u0bc2,0.4 km,5 mins
ChIJv9I9oXje4EcR2SdAXP4qDm8,Petit Bateau,shopping,store,['clothing_store'],,3.5,8.0,"1 Bd Ferdinand de Lesseps, 76000 Rouen, France",49.4458502,1.0651417,u0bc21,u0bc2,2.6 km,32 mins
ChIJu_DR_9fd4EcRPGRq9Q-O-Dw,Buquet Jean-Luc,shopping,store,['jewelry_store'],,5.0,2.0,"8 Rue Thouret, 76000 Rouen, France",49.4415501,1.0920704,u0bc2b,u0bc2,0.3 km,4 mins
